line	text	word_order	CODA
19901	احنا	1	احنا
19901	رايحين	2	رايحين
19901	فين	3	فين
20583	أنتي	1	انتي
20583	بخير	2	بخير
20583	NULL	3	يا
20583	ياخيتي	4	اختي
27042	وايه	1	وايه
27042	هيا	2	هيّ
27042	بقي	3	بقى
17240	NULL	1	يا
17240	ياولاد	2	ولاد
17240	الذين	3	الذين
490	يعني	1	يعني
490	بتعترف	2	بتعترف
490	إنهم	3	إنهم
490	حلوين	4	حلوين
490	وبيشدوك	5	وبيشدوك
490	أهو	6	أهو
1487	اعترف	1	أعترف
1487	واقر	2	وأقر
1487	بانى	3	بإني
1487	الان	4	الان
1487	أسير	5	أسير
1487	جنيتي	6	جنيتي
1487	الجميلة	7	الجميلة
1487	تلك	8	تلك
1487	الفاتنة	9	الفاتنة
1487	صاحبة	10	صاحبة
1487	العيون	11	العيون
1487	الرومادية	12	الرومادية
1487	لو	13	لو
1487	اعتزرت	14	اعتذرت
1487	لآخر	15	لآخر
1487	العمر	16	العمر
1487	أعلم	17	أعلم
1487	بأن	18	بأن
1487	قلبك	19	قلبك
1487	وعقلك	20	وعقلك
1487	أن	21	أن
1487	يسامحنى	22	يسامحني
1487	ولكن	23	ولكن
1487	لن	24	لن
1487	يكون	25	يكون
1487	لقبي	26	لقبي
1487	القيصر	27	القيصر
1487	الا	28	إلا
1487	اذا	29	إذا
1487	عشقتيني	30	عشقتيني
1487	ودوبتي	31	وذوبتي
1487	في	32	في
1487	هواي	33	هوايّ
11777	هو	1	هو
11777	ايه	2	ايه
11777	اللي	3	اللي
11777	كيف	4	كيف
11777	ثم	5	ثم
11777	قربت	6	قربت
11777	منه	7	منه
17479	كفاااية	1	كفاية
17479	انت	2	إنت
17479	ايهمش	3	ايهمش
17479	كفاية	4	كفاية
17479	طووول	5	طول
17479	عمرك	6	عمرك
17479	بتفرقى	7	بتفرقي
17479	بينها	8	بينها
17479	وبين	9	وبين
17479	اختها	10	اختها
17479	فى	11	في
17479	كل	12	كل
17479	حاجة	13	حاجة
47840	بعدين	1	بعدين
47840	بعد	2	بعد
47840	الفطار	3	الفطار
47840	ان	4	إن
47840	شاء	5	شاء
47840	الله	6	الله
47840	مش	7	مش
47840	وجت	8	وقت
47840	كلام	9	كلام
47840	عالوكل	10	عالوكل
27043	فيروز	1	فيروز
27043	قولت	2	قولت
27043	سبني	3	سيبني
27043	ولا	4	ولا
27043	اسيبلك	5	اسيبلك
27043	القوضه	6	الأوضة
27043	خالص	7	خالص
27043	وامشي	8	وامشي
27043	من	9	من
27043	القصر	10	القصر
27043	نهاءي	11	نهائي
11628	عمااااااااااااااااااار	1	عمار
11628	اخرج	2	اخرج
52025	بلاش	1	بلاش
52025	دلع	2	دلع
52025	وبعدين	3	وبعدين
52025	أنا	4	أنا
52025	كلمت	5	كلمت
52025	الأستاذ	6	الأستاذ
52025	مجدى	7	مجدي
52025	المسئول	8	المسئول
52025	عن	9	عن
52025	الحسابات	10	الحسابات
52025	خلاص	11	خلاص
52025	NULL	12	وقال
52025	وقالى	13	لي
52025	قدامه	14	قدامه
52025	شويه	15	شوية
52025	حسابات	16	حسابات
52025	وتقفيلات	17	وتقفيلات
52025	في	18	في
52025	السنه	19	السنة
52025	الماليه	20	المالية
52025	هيخلصها	21	هيخلصها
52025	وبعدها	22	وبعدها
52025	تجى	23	تجي
52025	وانا	24	وانا
52025	اللى	25	اللي
52025	هدربها	26	هادربها
52025	وأفهمها	27	وأفهمها
52025	في	28	في
52025	الحسابات	29	الحسابات
52025	بنفسى	30	بنفسي
52025	فلازم	31	فلازم
52025	ترجعى	32	ترجعي
52025	نشيطه	33	نشيطة
52025	من	34	من
52025	تانى	35	تاني
37915	بتعملي	1	بتعملي
37915	ايه	2	ايه
26923	ابقي	1	ابقي
26923	نامي	2	نامي
26923	في	3	في
26923	العربية	4	العربية
15794	و	1	NULL
15794	خبتيه	2	وخبيتيه
15794	ليه	3	ليه
15794	اول	4	اول
15794	ما	5	ما
15794	انا	6	انا
15794	دخلت	7	دخلت
49593	بنت	1	بنت
49593	NULL	2	ايه
49593	ال	3	اللي
49593	بوظة	4	بوظه
49593	ليه	5	ليه
49593	كل	6	كل
49593	حاجه	7	حاجة
49593	كل	8	كل
49593	خططي	9	خططي
49593	راحت	10	راحت
49593	هو	11	هو
17641	انا	1	انا
17641	هدخل	2	هادخل
17641	لوكيل	3	لوكيل
17641	النيابة	4	النيابة
17641	بعد	5	بعد
17641	ما	6	ما
17641	يخرج	7	يخرج
17641	مهران	8	مهران
17641	اشوف	9	اشوف
17641	ايه	10	ايه
17641	الاخبار	11	الاخبار
17641	و	12	NULL
17641	ايه	13	وايه
17641	اللى	14	اللي
17641	ممكن	15	ممكن
17641	يتعمل	16	يتعمل
432	حسنا	1	حسناً
432	الان	2	الان
432	سيدتى	3	سيدتي
432	سوف	4	سوف
432	اترككى	5	اترككِ
432	لكى	6	لكي
432	تتحدثى	7	تتحدثي
432	مع	8	مع
432	السيد	9	السيد
432	نضال	10	نضال
432	وعندما	11	وعندما
432	تنتهين	12	تنتهين
432	اضغطى	13	اضغطِ
432	على	14	على
432	الزر	15	الزر
432	الاحمر	16	الأحمر
432	وارجو	17	وارجوا
432	أن	18	أن
432	لا	19	لا
432	تخرجى	20	تخرجي
432	مره	21	مرة
432	اخرى	22	اخرى
432	فالسيد	23	فالسيد
432	نضال	24	نضال
432	اعلمنى	25	اعلمني
432	انك	26	أنكِ
432	تحملين	27	تحملين
432	طفل	28	طفل
432	ولا	29	ولا
432	يريد	30	يريد
432	أن	31	أن
432	يرهقكى	32	يرهقك
432	وخروجك	33	وخروجك
432	سوف	34	سوف
432	يكون	35	يكون
432	خطر	36	خطر
432	عليكى	37	عليك
432	حسنا	38	حسناً
432	لا	39	لا
432	تخرجى	40	تخرجي
432	سيدتى	41	سيدتي
432	ارجوكى	42	أرجوكِ
17962	انت	1	انت
17962	موجمن	2	مؤمن
17962	يا	3	يا
17962	ابوي	4	ابوي
17962	وعارف	5	وعارف
17962	ان	6	إن
17962	كل	7	كل
17962	واحد	8	واحد
17962	له	9	له
17962	ساعه	10	ساعة
17962	وما	11	NULL
17962	حدش	12	ماحدش
17962	عايجعد	13	عيقعد
17962	دجيجه	14	دقيقة
17962	عن	15	عن
17962	اللي	16	اللي
17962	ربنا	17	ربنا
17962	كتبها	18	كتبها
17962	له	19	له
30931	ماشى	1	ماشي
30931	يا	2	يا
30931	حبيبتى	3	حبيبتي
30931	يلا	4	يلا
30931	تعالى	5	تعالي
30931	عشان	6	عشان
30931	نفطر	7	نفطر
15634	لا	1	لا
15634	NULL	2	يا
15634	ياختي	3	اختي
15634	طب	4	طب
15634	انا	5	انا
15634	حظي	6	حظي
15634	وحش	7	وحش
15634	ورضعنا	8	ورضعنا
15634	مع	9	مع
15634	بعض	10	بعض
15634	لكن	11	لكن
15634	انتي	12	انتي
15634	وهو	13	وهو
15634	مش	14	مش
15634	اخوات	15	اخوات
15634	NULL	16	ما
15634	ميحبكيش	17	بيحبكيش
15634	ليه	18	ليه
3091	خلاص	1	خلاص
3091	يا	2	يا
3091	استاذة	3	استاذة
3091	محترمة	4	محترمة
3091	فارجينا	5	فرَّجينا
3091	و	6	NULL
3091	ورينا	7	وورينا
3091	عرض	8	عرض
3091	كتافك	9	كتافك
33914	زهقت	1	زهقت
33914	يا	2	يا
33914	بابا	3	بابا
5079	كده	1	كده
5079	برضك	2	برضك
5079	حرام	3	حرام
5079	عليك	4	عليك
5079	يا	5	يا 
5079	سيد	6	سيد
5079	مبقتش	7	ما 
5079	NULL	8	بقتش
5079	حمل	9	حمل
5079	الخضة	10	الخضة
5079	دي	11	دي
21280	في	1	في
21280	عيوني	2	عيوني
21280	يا	3	يا
21280	مرت	4	مرة
21280	عمي	5	عمي
21280	متشيليش	6	ما 
21280	NULL	7	تشيليش
21280	همها	8	همها
21280	واصل	9	واصل
21280	طول	10	طول
21280	ما	11	ما
21280	هي	12	هي
21280	معاي	13	معايّ
48093	خلينا	1	خلينا
48093	نقعد	2	نقعد
48093	في	3	في
48093	البراندا	4	البراندة
48093	الشمس	5	الشمس
48093	النهارده	6	النهاردة
48093	حلوه	7	حلوة
48093	اهو	8	أهو
48093	أدفى	9	أدفى
48093	من	10	من
48093	أشعتها	11	أشعتها
16961	عاوزه	1	عاوزة
16961	تعيشى	2	تعيشي
16961	معانا	3	معنا
16961	إهنه	4	إهنه
16961	في	5	في
16961	دار	6	دار
16961	العراب	7	العراب
16961	أنا	8	أنا
16961	كلمتى	9	كلمتي
16961	هي	10	هي
16961	اللى	11	اللي
16961	بتمشى	12	بتمشي
16961	كيف	13	كيف
16961	ما	14	ما
16961	جولت	15	قولت
16961	لك	16	لك
12965	واه	1	واه
12965	طب	2	طب
12965	مش	3	مش
12965	تجوليلى	4	تقولي 
12965	NULL	5	لي
12965	كده	6	كده
12965	من	7	من
12965	الاول	8	الاول
12965	NULL	9	يا
12965	يامرة	10	مرة
12965	NULL	11	يا
12965	يافجريه	12	 فقرية
12965	انتى	13	انتي
12965	وتبشرينى	14	وتبشريني
12965	صح	15	صح
12965	استنى	16	استني
12965	هي	17	هي
12965	امتى	18	امتى
12965	طلعت	19	طلعت
12965	حامل	20	حامل
12965	وامتى	21	وامتى
12965	طلعت	22	طلعت
12965	زعلانة	23	زعلانة
12965	مع	24	مع
12965	عاصم	25	عاصم
16406	اقبل	1	إقبل
16406	يا	2	يا
16406	ليل	3	ليل
16406	اقصد	4	أقصد
16406	يا	5	يا
16406	غيث	6	غيث
