line	text
1	مستنيكي تحت البلكونه بصيلي
3	البسي ونزلي
5	راحه فين
6	ادهم مستنيني تحت، ونزله
9	في حاجه
11	اركبي.
13	وحشتيني
14	ركز على الطريق يا ادهم. اه صحيح بس هو احنا رايحين فين
15	اممم دلوقتي تعرفي، شويه ونزلو قدام المعرض، ادهم مسك ايدها و دخلها مكان كله عربيات
17	اختاري واحده، آيه فكرت زي كل سنه بيجيبها تختار عربيه ليه كل العربيات إلى بيركبها من زوقها. آيه فضلت تدور بينهم وقفت عند واحده
18	دي يا ادهم حلوه اوي
20	عجبتك
22	اه حلوه
23	مبروك عليكي
25	على مهلك
26	ادهم قصدك ان العربيه دي ليا
27	ايوه يا روح ادهم
29	يلا علشان عندنا مشوار تاني، وخلي العربيه هنا يومين بس اخلص شويه شغل و اعلمك السواقه ونيجي نجيبها
30	رايحين فين تاني
32	تعالي.
35	ايوه
36	حور هانم يا جيه
37	يعنى اي جايه المفروض ان هي تبات هناك
38	معرفش يا هانم بس انا عملت زي ما قلتلي
39	تمام تمام اقفلي.
41	ايهاب ايهاب بيه ميصحش مراتك زمانها جايه، يوووه بقا يا سي ايهاب
44	كشفتني بنت لاي.
46	ممكن تقولي الخدامه كانت بتعمل اي هنا يا سي ايهاب
48	خدامه اي وزفت اي بقالي ساعه مستنياكي. بعد وهمسلها وكل تركيز على شفيفها
49	وحشتيني
51	وانت كمان وحشتني.
54	اهم ممكن نرقص
55	نرقص اي يا آيه بلاش جنان
56	وانبي الشارع مفهوش حد ونفسي اعمل كدا من زمان
57	طيب علشان خاطرك، ادهم طلع الفون وشغل اغنيه (هو الحب ايه غير لمسه من اديه غير نظره من عنيه) لعمرو دياب، ادهم ايده فوق راس آيه والايد التانيه في جيبه وهي ماسكه ايده وبتلف بتضحك.
59	حاجه تاني
60	لا
63	علشان لما اقلك تشربي اللبن تشربيه، عجبك كدا لما فرهدتي من اول عشر دقايق
66	بس تصدقي كنت قربة انسا مهنة الطب. غمزلها وكمل. بس رجعت المنهج كله على ايدك
68	يووووه مكنش كل دا علشان اغمي عليا مرا
70	قومي البسي علشان عايزك في موضوع مهم
71	حصل حاجه
72	قومي و دلوقتي تعرفي، بعد شويه ايهاب نازل. وايده على وسط حور، جميله جات عليهم بعدلع.
73	احضرلك الفطار يا ايهاب بيه
2	انا هتصرف
4	انت ملكش الحق تتحكم في حياتنا، مدرستنا و مستقبلنا اسمنا شغلنا كل حاجه انت إلى بتختارها. بس متوصلش انك تتحكم في علاقتي بمراتي، انا استحملت بما فيه الكفايه
6	خلصت.
8	علشان خاطري يا جدي
10	قول لخوك ان هنا الدنيا مش سايبه وان إلى اقول عليه لازم يمشي وبت عمه كفايه إلى قعت قباله خليه تشفله حتت عيال
11	حاضر يا جدي.
12	مش غلط إلى انت عملته دا
14	وهو مش غلط إلى بيعمله دا لامتا هيفضل يتحكم في حياتنا
15	دا جدك يا عبدالرحمن
16	وانا محترم دا والله بس انا تعبت من تصرفاته، اتنهد وكمل
18	احلوت صح
19	قوي للاسف
21	للاسف ايه يا ولد العبيطه. قوم شوف إلى مطيريه عقلك دي
22	مش قادر يا ايهاب مش قادر حاسس برفضها وخوفها وضغط الكل عليها
23	وهي استحملت كتير الصراحه
25	وهو حد كان بيقرب من شمس وانا مش هنا
26	انت عارف جدك
29	اتخنقت مع جدي صح كله بسببي. دلوقتي يضربني
31	كنتي بتتصنطي علينا
32	لا والله انا سمعتكم من هنا صوتكم كان عالي
34	شمس تعالي. شمس قربت منه وقعدت جنبه
36	شمس مينفعش تفضلي خايفه من جدي كدا طول ما انتي على زمتي مفيش حد يقدر يقرب منك مفهوم
39	يلا ننام.
42	صباح الخير
44	صباح النور احسن دلوقتي
46	ايوه
47	طاب يلا قومي علشان في تجهزات كتيره تحت وامي بعتت الخدامه كذا مره وانا قلتلها انك نايمه
49	هقوم احضرلك الحمام ولبسك إلى هتحضر بيه.
52	روح البس علشان تجيب عروستك
53	حاضر يا جدي
56	مبروك يا حبيبي ربنا يجعلها وش الخير عليك ايهاب اخد حور وطلع على فوق...
58	ط. طب ممكن نأجل الموضوع كام يوم ونبي
59	مينفعش مستنيينا تحت ولازم نخلص علشان طولنا قوي.
3	فاكره بروح امك مش هعرف مخططاتك الوسخه
4	ااااه شعري
5	مين إلى باعتك يا بت
6	معرفش
7	انطقي
9	ايهاب سيبها مش كدا
11	ابعدي عن وشي دلوقتي
13	انطقي مين إلى باعتك
14	انا.
16	نجوى
17	ايوه نجوي مرات ابنك إلى رمتها زي الكلبه اول ما ابنك مات
18	امي
19	ولله إلى تنسي امها وتعيش عادي متبقاش بنتي انا بنتي الوحيده هي جميله، بنتي إلى رجعت تجيب حقها وحق امها
21	حقك في اي بالظبط
22	نص الاملاك دي ليا ورثي من جوزي.
23	بس انا لسه ما م تتش علشان ابني يورث فيا. انتي كنتي عايزه تاخدي الورث وتمشي
24	مش هتفرق كتير بقا المهم اني خت نصيبي وحقي
25	حقك في اي يا وليه يا خرفانه
26	دا عقد انت ماضي عليه ان نص املاك وحق ابنك لمراته
28	تمام انتي ليكي نص البيت دا وحقك تقعدي فيه
29	اي إلى بتقوله دا وكل الاملاك ب...
30	زي ما قلت يا جدي دا حقه وهتاخده.
33	البيت بيتكم اتفضلو
34	ايهاب اي ال
35	نتكلم بعدين يا عبدالرحمن.
37	صباح الخير يا جماعه
39	يالهوي طالع كدا في التلج دا البس حاجه من البرد
41	انا كنت مشغل الدفايه والجو حرا جو بس النور قطع
42	قومي هتيله حاجه يلبسه يا آيه
44	هاتي اللاب معاكي يا آيه
49	اروح اجبهولك
50	لا هجيبه انا خليكي، ادهم قعد فتره طويله جوه لاوضه
51	روحي شوفيه اتاخر ليه
52	حاضر.
54	مين بيتصل
56	مفيش حد
57	عمي صح
58	ايوه
59	رد يا ادهم علشان خاطري
60	آيه انا مش
62	بالله عليك. لو بتحبني
65	انا في حضنك لحد متخلص المكالمه دي طول فيه قد ما تقدر علشان عايزه ابقا في حضنك
67	مبسوط اوي انك رديت عليا يا ادهم
69	اخبارك ايه
70	الحمدلله
71	و امك اخبارها اي
72	كويسه، عباس سكت شويه، كل دا وآيه حاضنه ادهم وبتلعب في شعره
73	آيه معاك
75	اكيد معاك. هي إلى خلتك ترد. سلملي عليها اوي.
76	يوصل
77	ان شاءلله بعد ما تتحل المشكله دي انا هقول لجدك على كل حاجه
79	مشكله اي
81	اعملو عقد بتاريخ قديم خلوا فيه الاملاك باسم حد تاني وهيبقا إلى معاها مش حقيقي، وبعدين ازاي ابوك يمضي على عقد زي دا من غير ميقرأ اكيد البت دي عطته حاجه.
82	مش عارف ولله بس إلى مستغربه ان ايهاب ساكت
83	اكيد عنده حل بس مستني الوقت المناسب
84	ان شاءلله خير. السكوت مال المكان شويه وقطع السكوت عباس
85	عايز حاجه
